thread_num,thread_name,thread_label,thread_replies,thread_label_id
45016,Games Threshold Discussion and List [Vote for games now!],other,5703,8
88720,New Player's Guide to the Subforum - New to Mafia? START HERE,other,961,8
39338,Mafia: A Basic Tutorial,other,79,8
34959,Paranormal Mafia Game - Rules Discussion,other,1719,8
64229,Notable Games Archive,other,307,8
44314,[DISCUSSION] Mafia Gametypes: Hash 'em out here!,other,1612,8
47641,"Open Games, Replacements, and Useful Threads",other,49,8
86473,Lurker Tracker - Web Edition,other,167,8
64804,Apparently the Fanfic thread,other,133,8
80808,Roguelike Mafia Discussion Thread,other,235,8
39457,Beginners Mafia - Game over!,beginners-mafia,707,1
88478,Simple BYOR - Night 3: No Flavor For You [2 Replacements Required!],other,410,8
68861,"Fuck You I'm Not Lurking - the ""I'm busy for this long"" Thread",other,58,8
89220,"Beginner's Mafia XXV 4/7, 3/3 - Evening 2 - A Pillar of Light - GAME OVER",beginners-mafia,733,1
89293,Newbie mafia question,other,22,8
88433,Roguelike Mafia 2 - Behold the power of Music! [Game Over],closed-setup,293,4
86344,F. R. O. T. V. Mafia! SIGNUPS(12/18)(and the whole thread slept 6 ft under.),other,28,8
87352,Paranormal 19.5 - Game Over!,paranormal,443,9
78826,"Why Would You Do That?: A Mafia Misadventure: Game Over, nobody wins >:I",byor,1108,2
88758,"Beginner's Mafia XXV - Game over, webadict wins.",beginners-mafia,445,1
36202,Live Mafia on IRC with a great moderator Bot. ,other,1044,8
87209,Beginner's Mafia XXIV - Return of the vanilla! And then there were none...,beginners-mafia,551,1
87382,[SIGN-UPS: 10/13] Kill Webadict Now: Webadict Edition,other,53,8
86089,Dethy Deluxe:  Debugging complete! [Game over],classic,340,3
85996,Third Party Mafia 3 - Game Over: Assassinated,classic,300,3
83499,Paranormal Mafia 19 - Day 2 -Rebooting,paranormal,347,9
82484,Creeper Mafia (SIGNUPS! 7/?),other,17,8
86378,[Closed],other,7,8
42250,Discussion: Mafia Subforum Policies,other,88,8
84271,"Beginners' Mafia XXIII [1/7, 3/3]: Evening 3 - GAME OVER & TOWN WIN!",other,466,8
81714,BYOR 7 - Game Over: Mafia Win,byor,530,2
84204,Fake: 0/5,other,4,8
84270,PARANOIA MAFIA.,other,9,8
83779,We need some ICs. Badly.,other,7,8
80018,"Beginners' Mafia XXII [0/6, 1/3], POSTGAME: Mafia Won!",beginners-mafia,528,1
80957,"Portal Bastard mod Sign-ups (3/15), (2/6), (1/1)",other,22,8
81245,Bad Dudes Mafia - Cancelled!,other,14,8
80554,BYOHF-Bring Your Own Historical Figure Mafia(Night 3 8/14),byor,388,2
75226,Mafia Maximum: Signups: PLAYERS CONFIRM! (7/9),other,43,8
79927,"Not-So-Beginner Mafia: Panda Edition [Evening 2, Town Almost-Flawless Victory]",vanilla,281,11
78768,Hated God (in signups! 2/9),other,15,8
80054,Taking Train-Riding Midterm,other,10,8
78265,Roguelike Mafia - The treasure awaits! [Game over!],closed-setup,781,4
79919,Deathmatch Minority Mafia (Looking for players!),other,13,8
79797,Crumbled Mafia Signups - 2/12 - Looking for Players!,other,43,8
76814,"Darling, you gotta let me know: should I Stay or should I Go?",other,207,8
70728,[UTIL] The LurkerTracker (version updated),other,53,8
76054,BYOR 6.3 - Game Over: Town Gets Lucky. Survivor Loses Only Brother. :'(,byor,713,2
77394,Beginner's Mafia XXI - Game Over: Be Ashamed. Be Very Ashamed.,beginners-mafia,469,1
77673,Mafia- It's where the flavor is! Discussion thread.,other,62,8
78772,"[DISCUSSION] Modding Q&A, Balancing, Recouces, etc",other,70,8
78431,Dwarven Mafia - [DISCUSSION] [SIGNUPS:3/13(14)] - A New Beginning,other,25,8
75894,Why Would You Do That?: A Mafia Misadventure  Signups [Active in Real Thread],other,376,8
77380,"Twitter Mafia: Game over, Hackers WIN!",vanilla,372,11
77045,Paranormal Mafia Round 18 - Game Over,paranormal,585,9
76609,Kingmaker 4: Game over!,vanilla,409,11
78236,movin' on outta here,other,8,8
77399,[Q&A] Mafia Questions and Strategy Discussion,other,28,8
77131,Paranoia mafia! The Computer commands you to sign up!,other,18,8
75826,"Vanilla AKA ""Mountainous"" Mafia: Happily Ever After!",vanilla,408,11
68874,Mafia Board Attendance Rank System - Quarter 0,other,117,8
76566,"Beginner's Mafia XX - Game Over, Humanity Doomed!",beginners-mafia,640,1
77361,Ways not to play scum: lessons from real life,other,6,8
74796,Sorcerer's Apprentice Mafia III - Game over: Dark Sorcerers win again!,closed-setup,546,4
72355,BYOR5.5 - Day 9: Just Kidding. Game Over.,byor,1153,2
76588,"Yet another Mafia game (by a newbie, recruiting)",other,2,8
74691,WIFOM Mafia [JUST ONE MORE REALLY],other,34,8
74997,"Beginner's Mafia XIX - Game Over, World Rescued!",beginners-mafia,420,1
73922,Kingmaker Mafia- Season 3!  Game over!,classic,349,3
75885,Zerzooton- The weird west mafia game Sign up ya'll!,other,6,8
75468,Dwarven Mafia - The Elves are Among Us!,other,25,8
73479,Bring Your Own Winter Holiday: Game Over (A Hanukkah is fine too...),byor,133,2
74755,New MAFIA game for new player?,other,7,8
72923,Bastard Paranormal - Game Over!,bastard,529,0
70932,Don't OutGuess the Mod Mafia 3 - Actually Started,other,204,8
72178,Beginner's Mafia XVIII Game Over Scum Won! Happytown is now Scumville.,beginners-mafia,319,1
73955,Archangel's Werewolf: Canceled,other,20,8
74005,classic mafia.,other,3,8
73808,"Merry Christmas, Lying Scum",other,24,8
72759,[In-Signups] Bring Your Own Winter Holiday Mafia,other,15,8
72791,The McCarthyism Game,other,13,8
70902,Mafia Salad: Put away your salad forks!  [Game Over],classic,228,3
70481,Sorcerer's Apprentice Mafia II [Over: And it was KaminaSquirtle all along],closed-setup,389,4
69553,Paranormal Mafia - Round 17 - Game Over!,paranormal,975,9
69496,DMA Mafia - Cancelled - Farewell,other,67,8
68860,Beginner's Mafia XVII - It all ends in flames...,beginners-mafia,592,1
68923,"GG's Quick Bastard, Redux - Ressurection++ INTENSE STEEL - Day 7",bastard,312,0
68920,Sorcerer's Apprentice Mafia [Over - Dark Sorcerers Win!],closed-setup,345,4
67921,alien zombie demons GAEM end! toen win!!!!!,closed-setup,306,4
